district,mandal,village,lat,long,date,value
JANGAON,Devaruppala,Singarajupalli,79.2738,17.5919,01/04/22,5.21
JANGAON,Ganpur_stn,Chagal,79.3604,17.8387,01/04/22,15.21
JANGAON,Ganpur_stn,Namiligonda,79.4042,17.8333,01/04/22,1.96
JANGAON,Jangaon,Jangaon,79.1474,17.6973,01/04/22,4.43
JANGAON,Jangaon,Siddanki,79.0981,17.7676,01/04/22,9.22
JANGAON,Kodakandla,Kodakandla,79.5144,17.5258,01/04/22,10.06
JANGAON,Lingalaghanpur,Jeedikal,79.1613,17.6084,01/04/22,6.76
JANGAON,Lingalaghanpur,Lingala ghanpur,79.1997,17.6591,01/04/22,7.28
JANGAON,Lingalaghanpur,Vadicherla,79.2365,17.6606,01/04/22,2.21
JANGAON,Narmetta,Machupahad,79.222159,17.87118,01/04/22,8.99
JANGAON,Narmetta,Veldanda,79.124717,17.858198,01/04/22,4.82
JANGAON,Palakurthi,Gudur,79.409394,17.736265,01/04/22,4.21
JANGAON,Palakurthi,Palakurthi,79.4225,17.6691,01/04/22,8.56
JANGAON,Raghunathpalle,Ibrahimpur,79.2289,17.7592,01/04/22,8.24
JANGAON,Raghunathpalle,Nidigonda,79.231,17.731,01/04/22,5.14
JANGAON,Raghunathpalle,Raghunadhapalli,79.2636,17.7647,01/04/22,13.35
JANGAON,Tharigoppula,Tarigopulla,79.1802,17.9427,01/04/22,9.93
JANGAON,Zaffergadh,Kunur,79.4766,17.847,01/04/22,13.89
JANGAON,Zaffergadh,Zafergad,79.487,17.7651,01/04/22,7.5
JOGULAMBA(GADWAL),Alampur,Alampur,78.121104,15.896441,01/04/22,2.75
JOGULAMBA(GADWAL),Dharur,Dharoor,77.678908,16.224385,01/04/22,6.81
JOGULAMBA(GADWAL),Dharur,Neelahally,77.641794,16.265211,01/04/22,14.77
JOGULAMBA(GADWAL),Gadwal,Gadwal,77.8021,16.2326,01/04/22,2.62
JOGULAMBA(GADWAL),Ghattu,Allor,77.628079,16.177873,01/04/22,9.53
JOGULAMBA(GADWAL),Ghattu,Gattu,77.5757,16.1287,01/04/22,2.76
JOGULAMBA(GADWAL),Ghattu,Induvasi,77.52,16.04,01/04/22,
JOGULAMBA(GADWAL),Aiza,Eklaspur,77.6515,16.0482,01/04/22,4.58
JOGULAMBA(GADWAL),Aiza,Ieeza,77.671609,16.01518,01/04/22,11.6
JOGULAMBA(GADWAL),Itikyal,Kodandapur,77.565,16.249,01/04/22,14.25
JOGULAMBA(GADWAL),Kaloor_Timmanadoddi,Kondapur,77.8315,16.0701,01/04/22,4.97
JOGULAMBA(GADWAL),Kaloor_Timmanadoddi,Kuchinerla,77.526,16.179,01/04/22,3.16
JOGULAMBA(GADWAL),Maldakal,Maldakal,77.687599,16.129667,01/04/22,2.21
JOGULAMBA(GADWAL),Manopad,Manopad,77.9533,15.9656,01/04/22,3.72
JOGULAMBA(GADWAL),Undavelli,Pullur,78.01,15.92,01/04/22,20.17
JOGULAMBA(GADWAL),Undavelli,Undavally,78.04,15.93,01/04/22,3.52
JOGULAMBA(GADWAL),Waddepalle,Santhinagar,77.839,15.94,01/04/22,2.02
KAMAREDDY,Banswada,Bansawada,77.879,18.393,01/04/22,6.9
KAMAREDDY,Banswada,Budimi,77.89,18.34,01/04/22,2.6
KAMAREDDY,Bhiknur,Bhiknoor,78.399,18.196,01/04/22,6.67
KAMAREDDY,Bhiknur,Issannapally,78.4767,18.1429,01/04/22,13.23
KAMAREDDY,Bhiknur,P.D.Mallareddy,78.453,18.173,01/04/22,17.48
KAMAREDDY,Bibipet,Bibipet,78.523,18.205,01/04/22,16.69
KAMAREDDY,Bichkunda,Pulkal,77.767,18.399,01/04/22,3.82
KAMAREDDY,Birkoor,Birkur,77.803,18.47,01/04/22,10.05
KAMAREDDY,Domakonda,Domakonda,78.436,18.25,01/04/22,15.72
KAMAREDDY,Gandhari,Gandhari,78.107,18.396,01/04/22,16.7
KAMAREDDY,Gandhari,Ramlaxmanpally,78.13,18.32,01/04/22,21.85
KAMAREDDY,Gandhari,Sarvapoor,77.9851,18.3647,01/04/22,20.85
KAMAREDDY,Jukkal,Jukkal,77.604,18.364,01/04/22,5.14
KAMAREDDY,Jukkal,Savargao,77.649524,18.321675,01/04/22,4
KAMAREDDY,Kamareddy,Adloor,78.3435,18.3438,01/04/22,13.58
KAMAREDDY,Kamareddy,Narasannapally,78.3617,18.2686,01/04/22,14.77
KAMAREDDY,Lingampet,Bhavanipet,78.058,18.2791,01/04/22,12.68
KAMAREDDY,Lingampet,Khannapur,78.16,18.19,01/04/22,22.76
KAMAREDDY,Lingampet,Mothe,78.17,18.31,01/04/22,22.43
KAMAREDDY,Machareddy,Machareddy,78.493,18.329,01/04/22,6.62
KAMAREDDY,Madnur,Menoor,77.652,18.483,01/04/22,7.13
KAMAREDDY,Madnur,SOMUR,77.603085,18.419887,01/04/22,7.56
